event_id,symbol,end_date,ann_date,update_flag,source_rows_matched,has_previous_version,funnel_type_upgrade,recomputed_type_upgrade,type_upgrade_match,funnel_numeric_revision,recomputed_numeric_revision,numeric_revision_match,funnel_numeric_available,recomputed_numeric_available,numeric_available_match,current_type,previous_type,current_net_profit_min,current_net_profit_max,previous_net_profit_min,previous_net_profit_max
B1|sz.002524|20200630|a2020-07-15|u0,sz.002524,20200630,2020-07-15,0,1,True,False,False,True,True,True,True,True,True,True,首亏,首亏,-1200.0,-800.0,-1600.0,-800.0
B1|sz.002612|20200630|a2020-07-15|u0,sz.002612,20200630,2020-07-15,0,1,True,False,False,True,True,True,True,True,True,True,首亏,首亏,-600.0,-300.0,-2800.0,-1900.0
B1|sz.002488|20200930|a2020-09-29|u0,sz.002488,20200930,2020-09-29,0,1,True,False,False,True,True,True,True,True,True,True,预减,预减,0.0,500.0,-3200.0,-1600.0
B1|sz.002571|20200930|a2020-10-13|u0,sz.002571,20200930,2020-10-13,0,1,True,False,False,True,True,True,True,True,True,True,预减,预减,70.0,100.0,-450.0,-300.0
B1|sz.002594|20200930|a2020-10-13|u0,sz.002594,20200930,2020-10-13,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,340000.0,360000.0,280000.0,300000.0
B1|sz.002919|20200930|a2020-10-14|u0,sz.002919,20200930,2020-10-14,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,4151.0,4773.0,2906.0,3736.0
B1|sz.000027|20200930|a2020-10-15|u0,sz.000027,20200930,2020-10-15,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,366000.0,406000.0,350000.0,420000.0
B1|sz.000698|20200930|a2020-10-15|u1,sz.000698,20200930,2020-10-15,1,1,True,False,False,True,True,True,True,True,True,True,扭亏,扭亏,2000.0,2600.0,-10000.0,-5000.0
B1|sz.000786|20200930|a2020-10-15|u0,sz.000786,20200930,2020-10-15,0,1,True,False,False,True,True,True,True,True,True,True,扭亏,扭亏,195000.0,205000.0,158500.0,168700.0
B1|sz.002059|20200930|a2020-10-15|u0,sz.002059,20200930,2020-10-15,0,1,True,False,False,True,True,True,True,True,True,True,首亏,首亏,-4000.0,-2800.0,-5000.0,-2600.0
B1|sz.002386|20200930|a2020-10-15|u0,sz.002386,20200930,2020-10-15,0,1,True,False,False,True,True,True,True,True,True,True,预减,预减,1200.0,1800.0,0.0,1000.0
B1|sz.002437|20200930|a2020-10-15|u0,sz.002437,20200930,2020-10-15,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,64000.0,67000.0,62000.0,68000.0
B1|sz.002847|20200930|a2020-10-15|u0,sz.002847,20200930,2020-10-15,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,18000.0,19000.0,17500.0,18500.0
