record_type,key,symbol,family,anchor_date,label_end_at,n_own_sessions,n_market_sessions,window_complete,crosses_dev_boundary,censoring_reason,retained,deleted,funnel_label_end_decision,label_end_match,note
b1_event_window,B1|sz.002524|20200630|a2020-07-15|u0,sz.002524,B1,2020-07-16,2020-08-13,20,20,True,False,,True,False,2020-08-13,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002612|20200630|a2020-07-15|u0,sz.002612,B1,2020-07-16,2020-08-13,20,20,True,False,,True,False,2020-08-13,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002488|20200930|a2020-09-29|u0,sz.002488,B1,2020-09-30,2020-11-05,20,20,True,False,,True,False,2020-11-05,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002571|20200930|a2020-10-13|u0,sz.002571,B1,2020-10-14,2020-11-11,20,20,True,False,,True,False,2020-11-11,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002594|20200930|a2020-10-13|u0,sz.002594,B1,2020-10-14,2020-11-11,20,20,True,False,,True,False,2020-11-11,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002919|20200930|a2020-10-14|u0,sz.002919,B1,2020-10-15,2020-11-12,20,20,True,False,,True,False,2020-11-12,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.000027|20200930|a2020-10-15|u0,sz.000027,B1,2020-10-16,2020-11-13,20,20,True,False,,True,False,2020-11-13,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.000698|20200930|a2020-10-15|u1,sz.000698,B1,2020-10-16,2020-11-13,20,20,True,False,,True,False,2020-11-13,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.000786|20200930|a2020-10-15|u0,sz.000786,B1,2020-10-16,2020-11-13,20,20,True,False,,True,False,2020-11-13,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002059|20200930|a2020-10-15|u0,sz.002059,B1,2020-10-16,2020-11-13,20,20,True,False,,True,False,2020-11-13,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002386|20200930|a2020-10-15|u0,sz.002386,B1,2020-10-16,2020-11-13,20,20,True,False,,True,False,2020-11-13,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002437|20200930|a2020-10-15|u0,sz.002437,B1,2020-10-16,2020-11-13,20,20,True,False,,True,False,2020-11-13,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002847|20200930|a2020-10-15|u0,sz.002847,B1,2020-10-16,2020-11-13,20,20,True,False,,True,False,2020-11-13,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
