day,sess,symbol,reason,source
2018-03-27,am,sh.600729,account_trim,2018-02-28
2018-03-27,pm,sh.600729,account_trim,2018-02-28
2018-03-28,am,sh.600729,account_trim,2018-02-28
2018-03-28,pm,sh.600729,account_trim,2018-02-28
2018-03-29,am,sh.600729,account_trim,2018-02-28
2018-03-29,pm,sh.600729,account_trim,2018-02-28
2018-03-30,am,sh.600729,account_trim,2018-02-28
2018-03-30,pm,sh.600729,seat_exit,2018-03-30
2018-03-30,pm,sz.000651,seat_exit,2018-03-30
2018-03-30,pm,sz.002547,seat_exit,2018-03-30
2018-03-30,pm,sz.002570,seat_exit,2018-03-30
2018-04-27,pm,sh.600315,seat_exit,2018-04-27
2018-04-27,pm,sh.603557,seat_exit,2018-04-27
2018-04-27,pm,sz.000001,seat_exit,2018-04-27
2018-04-27,pm,sz.002663,seat_exit,2018-04-27
2018-05-07,pm,sh.600600,account_trim,2018-04-27
2018-05-16,am,sh.600600,take_half,2018-05-16
2018-05-31,pm,sh.600031,seat_exit,2018-05-31
2018-05-31,pm,sh.600600,seat_exit,2018-05-31
2018-05-31,pm,sh.600900,seat_exit,2018-05-31
2018-05-31,pm,sz.002422,seat_exit,2018-05-31
2018-06-19,am,sz.000533,stop,2018-06-19
2018-06-19,am,sz.002507,stop,2018-06-19
2018-06-29,pm,sh.603718,seat_exit,2018-06-29
2018-06-29,pm,sz.000533,seat_exit,2018-06-29
2018-06-29,pm,sz.002460,seat_exit,2018-06-29
2018-06-29,pm,sz.002507,seat_exit,2018-06-29
2018-07-11,pm,sz.000636,account_trim,2018-06-29
2018-07-13,pm,sz.000636,take_half,2018-07-13
2018-07-16,pm,sz.000636,clear,2018-07-16
2018-07-17,pm,sz.000636,clear,2018-07-16
2018-07-18,pm,sz.000636,clear,2018-07-16
2018-07-19,am,sz.000636,clear,2018-07-16
2018-07-20,am,sz.000636,clear,2018-07-16
2018-07-20,pm,sz.000636,clear,2018-07-16
2018-07-23,pm,sz.000636,clear,2018-07-16
2018-07-24,am,sz.000636,clear,2018-07-16
2018-07-25,am,sz.000636,clear,2018-07-16
2018-07-25,pm,sz.000636,clear,2018-07-16
2018-07-26,pm,sz.000636,clear,2018-07-16
2018-07-27,pm,sz.000636,clear,2018-07-16
2018-07-30,am,sz.002399,stop,2018-07-30
2018-07-30,pm,sz.000636,clear,2018-07-16
2018-07-31,am,sz.000636,clear,2018-07-16
2018-07-31,pm,sh.603848,seat_exit,2018-07-31
2018-07-31,pm,sz.002268,seat_exit,2018-07-31
2018-07-31,pm,sz.002399,seat_exit,2018-07-31
2018-08-13,am,sz.002672,stop,2018-08-13
2018-08-16,am,sz.002458,stop,2018-08-16
2018-08-22,am,sz.002672,stop,2018-08-22
2018-08-31,pm,sh.601186,seat_exit,2018-08-31
2018-08-31,pm,sz.000046,seat_exit,2018-08-31
2018-08-31,pm,sz.002458,seat_exit,2018-08-31
2018-08-31,pm,sz.002672,seat_exit,2018-08-31
2018-09-10,pm,sh.601788,stop,2018-09-10
2018-09-28,pm,sh.600298,seat_exit,2018-09-28
2018-09-28,pm,sh.601788,seat_exit,2018-09-28
2018-10-11,am,sz.000001,protection,2018-10-11
2018-10-11,pm,sz.002478,stop,2018-10-11
2018-10-16,am,sz.002152,stop,2018-10-16
2018-10-31,pm,sh.601898,seat_exit,2018-10-31
2018-10-31,pm,sz.000001,seat_exit,2018-10-31
2018-10-31,pm,sz.002152,seat_exit,2018-10-31
2018-10-31,pm,sz.002478,seat_exit,2018-10-31
2018-11-30,pm,sh.600036,seat_exit,2018-11-30
2018-11-30,pm,sh.600340,seat_exit,2018-11-30
2018-11-30,pm,sh.600668,seat_exit,2018-11-30
2018-11-30,pm,sz.000584,seat_exit,2018-11-30
2018-12-03,am,sz.002679,clear,2016-11-18
2018-12-03,pm,sz.002679,clear,2016-11-18
2018-12-04,pm,sz.002679,clear,2016-11-18
2018-12-05,pm,sz.002679,clear,2016-11-18
2018-12-06,am,sh.603366,stop,2018-12-06
2018-12-06,pm,sz.002679,clear,2016-11-18
2018-12-07,pm,sz.002679,clear,2016-11-18
2018-12-10,pm,sz.002679,clear,2016-11-18
2018-12-11,pm,sz.002679,clear,2016-11-18
2018-12-12,pm,sz.002679,clear,2016-11-18
2018-12-13,am,sh.603366,account_trim,2018-11-30
2018-12-13,pm,sz.002679,clear,2016-11-18
2018-12-14,pm,sz.002679,clear,2016-11-18
2018-12-17,pm,sz.002679,clear,2016-11-18
2018-12-18,pm,sz.002679,clear,2016-11-18
2018-12-19,pm,sz.002679,clear,2016-11-18
2018-12-20,pm,sz.002679,clear,2016-11-18
2018-12-21,pm,sz.002679,clear,2016-11-18
2018-12-25,am,sz.002679,clear,2016-11-18
2018-12-25,pm,sz.002679,clear,2016-11-18
2018-12-26,pm,sz.002679,clear,2016-11-18
2018-12-27,pm,sz.002679,clear,2016-11-18
2018-12-28,pm,sh.601113,seat_exit,2018-12-28
2018-12-28,pm,sh.603366,seat_exit,2018-12-28
2018-12-28,pm,sz.000659,seat_exit,2018-12-28
2018-12-28,pm,sz.002679,seat_exit,2018-12-28
2018-12-28,pm,sz.002679,clear,2016-11-18
2019-01-17,am,sh.601881,account_trim,2018-12-28
2019-01-31,pm,sh.600525,seat_exit,2019-01-31
2019-01-31,pm,sh.600702,seat_exit,2019-01-31
2019-01-31,pm,sh.601881,seat_exit,2019-01-31
2019-01-31,pm,sz.002358,seat_exit,2019-01-31
2019-02-28,pm,sh.601166,seat_exit,2019-02-28
2019-02-28,pm,sh.601318,seat_exit,2019-02-28
2019-02-28,pm,sh.601398,seat_exit,2019-02-28
2019-02-28,pm,sh.601939,seat_exit,2019-02-28
2019-03-07,am,sh.600531,account_trim,2019-02-28
2019-03-12,am,sh.603986,account_trim,2019-02-28
2019-03-20,am,sh.600531,protection,2019-03-20
2019-03-29,pm,sh.600256,seat_exit,2019-03-29
2019-03-29,pm,sh.600531,seat_exit,2019-03-29
2019-03-29,pm,sh.603986,seat_exit,2019-03-29
2019-03-29,pm,sz.002192,seat_exit,2019-03-29
2019-04-09,am,sz.002458,stop,2019-04-09
2019-04-09,am,sz.000159,account_trim,2019-03-29
2019-04-09,pm,sz.000159,account_trim,2019-03-29
2019-04-12,am,sz.002458,account_trim,2019-03-29
2019-04-12,pm,sz.002458,account_trim,2019-03-29
2019-04-22,am,sz.000159,take_half,2019-04-22
2019-04-23,am,sz.002824,stop,2019-04-23
2019-04-30,pm,sh.600721,seat_exit,2019-04-30
2019-04-30,pm,sz.000159,seat_exit,2019-04-30
2019-04-30,pm,sz.002458,seat_exit,2019-04-30
2019-04-30,pm,sz.002824,seat_exit,2019-04-30
2019-05-06,am,sz.000159,protection,2019-05-06
2019-05-06,pm,sz.000159,protection,2019-05-06
2019-05-13,am,sh.600146,account_trim,2019-04-30
2019-05-23,pm,sh.603383,stop,2019-05-23
2019-05-31,pm,sh.600146,seat_exit,2019-05-31
2019-05-31,pm,sh.603383,seat_exit,2019-05-31
2019-05-31,pm,sz.002466,seat_exit,2019-05-31
2019-05-31,pm,sz.002565,seat_exit,2019-05-31
2019-06-03,am,sz.002565,stop,2019-06-03
2019-06-19,am,sh.600422,account_trim,2019-05-31
2019-06-19,pm,sh.600422,account_trim,2019-05-31
2019-06-21,am,sh.600179,stop,2019-06-21
2019-06-21,am,sh.600422,account_trim,2019-05-31
2019-06-21,pm,sh.600179,stop,2019-06-21
2019-06-24,am,sh.600179,stop,2019-06-24
2019-06-24,am,sh.600422,take_half,2019-06-24
2019-06-24,pm,sh.600179,stop,2019-06-24
2019-06-25,am,sh.600179,stop,2019-06-25
2019-06-25,pm,sh.600179,stop,2019-06-25
2019-06-26,am,sh.600179,stop,2019-06-26
2019-06-26,pm,sh.600179,stop,2019-06-26
2019-06-27,am,sh.600179,stop,2019-06-27
2019-06-27,pm,sh.600179,stop,2019-06-27
2019-06-28,pm,sh.600179,seat_exit,2019-06-28
2019-06-28,pm,sh.600422,seat_exit,2019-06-28
2019-06-28,pm,sh.600703,seat_exit,2019-06-28
2019-06-28,pm,sz.002592,seat_exit,2019-06-28
2019-07-12,am,sh.603421,stop,2019-07-12
2019-07-31,pm,sh.600559,seat_exit,2019-07-31
2019-07-31,pm,sh.601799,seat_exit,2019-07-31
2019-07-31,pm,sh.603421,seat_exit,2019-07-31
2019-08-12,am,sz.002869,account_trim,2019-07-31
2019-08-14,am,sz.002869,take_half,2019-08-14
2019-08-21,am,sh.603360,stop,2019-08-21
2019-08-28,pm,sz.002869,clear,2019-08-28
2019-08-29,am,sz.002869,clear,2019-08-28
2019-08-30,am,sz.002869,clear,2019-08-28
2019-08-30,pm,sh.600624,seat_exit,2019-08-30
2019-08-30,pm,sh.600677,seat_exit,2019-08-30
2019-08-30,pm,sh.603360,seat_exit,2019-08-30
2019-08-30,pm,sz.002869,seat_exit,2019-08-30
2019-08-30,pm,sz.002869,clear,2019-08-28
2019-09-05,am,sz.002881,account_trim,2019-08-30
2019-09-09,pm,sz.000536,account_trim,2019-08-30
2019-09-19,am,sh.600183,account_trim,2019-08-30
2019-09-30,pm,sh.600069,seat_exit,2019-09-30
2019-09-30,pm,sh.600183,seat_exit,2019-09-30
