family,symbol,day,category,sig_ret_20,pool_med_20,pool_mean_20,elig_ctrl_20,fill_day,trig_to_fill,post_fill_ret_20
B2,sz.002512,2020-02-07,unmatched,0.0778145695364234,0.0999337740581856,0.11869945261792263,,,,
B2,sz.002581,2020-02-07,unmatched,-0.04932301740812395,0.0999337740581856,0.11869945261792263,,,,
B2,sh.600100,2020-02-07,unmatched,-0.0032292787944028234,0.0999337740581856,0.11869945261792263,,,,
B2,sh.600132,2020-02-07,unmatched,-0.016629933880985326,0.0999337740581856,0.11869945261792263,,,,
B2,sh.600267,2020-02-07,unmatched,0.012396694214876103,0.0999337740581856,0.11869945261792263,,,,
B2,sh.600584,2020-02-07,unmatched,-0.006035458317615983,0.0999337740581856,0.11869945261792263,,,,
B2,sh.601718,2020-02-07,unmatched,0.16589861751152069,0.0999337740581856,0.11869945261792263,,,,
B2,sh.603520,2020-02-07,unmatched,0.14314516129032184,0.0999337740581856,0.11869945261792263,,,,
B2,sz.000523,2020-02-07,unmatched,-0.057667103538663,0.0999337740581856,0.11869945261792263,,,,
B2,sz.000876,2020-02-07,unmatched,0.49843423799582465,0.0999337740581856,0.11869945261792263,,,,
B2,sz.002098,2020-02-07,unmatched,0.010479041916167331,0.0999337740581856,0.11869945261792263,,,,
B2,sz.002137,2020-02-07,unmatched,0.055023923444976086,0.0999337740581856,0.11869945261792263,,,,
B2,sz.002252,2020-02-07,unmatched,-0.027368421052631375,0.0999337740581856,0.11869945261792263,,,,
B2,sz.002315,2020-02-07,unmatched,0.02371095220173114,0.0999337740581856,0.11869945261792263,,,,
B2,sz.002399,2020-02-07,unmatched,0.088089330024814,0.0999337740581856,0.11869945261792263,,,,
B2,sz.002607,2020-02-07,unmatched,0.3029428736295443,0.0999337740581856,0.11869945261792263,,,,
B2,sh.603859,2020-02-10,unmatched,0.03215735248204776,0.03927846182724737,0.060668715580237564,,,,
B2,sz.002230,2020-02-10,unmatched,0.01870835468990273,0.03927846182724737,0.060668715580237564,,,,
B2,sz.002353,2020-02-10,unmatched,-0.17702257164595459,0.03927846182724737,0.060668715580237564,,,,
B2,sz.002429,2020-02-10,unmatched,0.19212962962962954,0.03927846182724737,0.060668715580237564,,,,
B2,sz.002474,2020-02-10,unmatched,0.0035714285714285587,0.03927846182724737,0.060668715580237564,,,,
B2,sz.002605,2020-02-10,unmatched,-0.2317010309278349,0.03927846182724737,0.060668715580237564,,,,
B2,sz.002668,2020-02-10,unmatched,-0.032258064516129115,0.03927846182724737,0.060668715580237564,,,,
B2,sz.002912,2020-02-10,unmatched,-0.01547987616099078,0.03927846182724737,0.060668715580237564,,,,
B2,sz.002928,2020-02-10,unmatched,0.20108205590622186,0.03927846182724737,0.060668715580237564,,,,
B2,sz.002409,2020-03-19,filled,-0.09242819843342076,0.012544802867383575,0.028852464174703284,,2020-03-20,-0.01644908616187979,0.01513140430050397
B2,sz.002324,2020-03-27,filled,0.11719293807696007,-0.012931034482758674,0.008751743789352036,,2020-03-30,-0.009609949123798867,0.17300775630199516
B2,sz.000987,2020-04-03,unmatched,0.2286652078774618,0.01891252955082723,0.035844042980255265,,,,
B2,sz.002401,2020-04-03,filled,-0.0814963259853041,0.01891252955082723,0.035844042980255265,,2020-04-07,0.10020040080160308,-0.1608986035215545
B2,sz.002734,2020-04-07,filled,-0.003888888888889608,2.220446049250313e-16,0.013257227346651317,,2020-04-08,0.005555555555555536,-0.033149171270718814
B2,sz.002077,2020-04-08,filled,-0.19426751592356717,-0.0013922836228565383,0.011123344371557898,,2020-04-09,-0.017515923566879033,-0.1782820097244734
B2,sz.002312,2020-04-08,unmatched,0.04273504273504258,-0.0013922836228565383,0.011123344371557898,,,,
B2,sz.002603,2020-04-08,unmatched,0.42402972749793566,-0.0013922836228565383,0.011123344371557898,,,,
B2,sz.002828,2020-04-08,unmatched,-0.07036669970267617,-0.0013922836228565383,0.011123344371557898,,,,
